symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATASTEEL,EQ,22-Jan-2025,129.7,130.25,130.35,127.12,128.85,128.92,128.45,"2,75,05,569","3,53,30,07,239.30","1,96,312","1,20,73,421",43.89
TATASTEEL,EQ,23-Jan-2025,128.92,127.85,130.75,127.7,130.65,130.37,130.01,"2,07,22,538","2,69,40,72,514.27","1,49,396","70,29,949",33.92
TATASTEEL,EQ,24-Jan-2025,130.37,130.5,133.2,129.31,130.5,129.74,131.01,"3,70,92,106","4,85,96,03,275.51","2,32,578","1,74,63,444",47.08
TATASTEEL,EQ,27-Jan-2025,129.74,129.02,129.45,125.74,126.55,126.37,127.93,"2,46,50,571","3,15,36,38,220.92","1,92,562","79,48,419",32.24
TATASTEEL,EQ,28-Jan-2025,126.37,126.37,130.49,124.74,128.95,128.62,128.42,"4,03,73,804","5,18,48,26,348.23","2,80,931","1,04,99,657",26.01
TATASTEEL,EQ,29-Jan-2025,128.62,129.0,131.34,128.55,131.0,130.8,130.49,"1,66,74,706","2,17,58,73,479.85","1,51,765","49,80,978",29.87
TATASTEEL,EQ,30-Jan-2025,130.8,130.8,132.15,130.1,131.8,131.12,131.3,"2,52,56,096","3,31,60,53,251.18","1,52,907","1,11,63,956",44.20
TATASTEEL,EQ,31-Jan-2025,131.12,131.12,135.0,129.93,134.9,134.62,133.62,"2,66,89,228","3,56,63,38,275.87","1,70,870","94,55,216",35.43
TATASTEEL,EQ,01-Feb-2025,134.62,135.0,135.5,130.25,133.0,132.97,133.26,"2,11,73,846","2,82,17,02,724.62","1,22,582","60,93,849",28.78
TATASTEEL,EQ,03-Feb-2025,132.97,131.29,132.51,127.81,131.52,131.82,130.02,"2,77,65,357","3,61,01,21,727.84","2,17,595","1,00,31,570",36.13
TATASTEEL,EQ,04-Feb-2025,131.82,132.8,134.34,131.87,133.1,133.42,133.08,"2,50,32,519","3,33,13,80,045.26","1,73,008","94,66,982",37.82
TATASTEEL,EQ,05-Feb-2025,133.42,133.15,135.39,133.08,134.34,134.4,134.61,"1,69,58,362","2,28,28,13,794.56","1,50,442","67,73,457",39.94
TATASTEEL,EQ,06-Feb-2025,134.4,134.5,134.87,132.02,132.65,132.54,132.72,"2,24,08,168","2,97,39,56,819.77","1,52,707","87,83,873",39.20
TATASTEEL,EQ,07-Feb-2025,132.54,133.3,138.75,132.56,138.16,138.31,136.76,"5,29,50,146","7,24,16,65,875.06","2,78,840","1,54,10,196",29.10
TATASTEEL,EQ,10-Feb-2025,138.31,138.1,138.1,133.0,133.91,134.04,134.12,"2,61,20,805","3,50,33,87,611.66","1,88,430","84,52,030",32.36
TATASTEEL,EQ,11-Feb-2025,134.04,133.0,134.34,129.7,130.2,130.11,131.71,"2,36,35,428","3,11,30,46,800.70","1,89,150","69,85,575",29.56
TATASTEEL,EQ,12-Feb-2025,130.11,129.35,133.29,128.31,132.25,132.28,130.91,"3,79,27,696","4,96,51,12,642.36","2,19,471","1,34,53,594",35.47
